Country Name,Country Code,Year,Value,GDP Trillion USD
United States,USA,2016,18624475000000.0,18.624475
China,CHN,2016,11199145157649.2,11.1991451576492
Japan,JPN,2016,4940158776617.16,4.94015877661716
Germany,DEU,2016,3477796274496.8,3.4777962744967996
United Kingdom,GBR,2016,2647898654635.24,2.6478986546352403
France,FRA,2016,2465453975282.24,2.4654539752822404
India,IND,2016,2263792499341.01,2.26379249934101
Italy,ITA,2016,1858913163927.72,1.8589131639277199
Brazil,BRA,2016,1796186586414.45,1.79618658641445
Canada,CAN,2016,1529760492201.35,1.5297604922013501
"Korea, Rep.",KOR,2016,1411245589976.63,1.4112455899766299
Russian Federation,RUS,2016,1283162985989.3,1.2831629859893001
Spain,ESP,2016,1237255019653.86,1.23725501965386
Australia,AUS,2016,1204616439828.41,1.2046164398284098
Mexico,MEX,2016,1046922702460.87,1.04692270246087
